"Permit #","Issued Date","Permit Type","Permit Sub Type","Address","Description","Contractor Name","RECORDID"
"BLDG20-0361","01/23/2020","RESIDENTIAL COUNTER","REROOF","10441 ROUTT ST","5 SQ Shed","Mountain Reach Roofing & Gutte...","ECON:200122103640220"
"BLDG20-0365","01/23/2020","COMMERCIAL","DEMOLITION","10170 CHURCH RANCH WAY","Demo Permit 10170 church ranch...","SNIPES CONSTRUCTION LLC","ECON:200122113444308"
"BLDG20-0368","01/23/2020","RESIDENTIAL COUNTER","REROOF","9794 GARRISON LN","Tear off & re-roof","Reitz Roofing Inc","ECON:200122124022873"
"BLDG20-0370","01/23/2020","RESIDENTIAL COUNTER","SEWER REPAIR","4291 W 111TH CIR","Sewer Service Repair in Front ...","GENERAL PLUMBING SERVICE","ECON:200122125317145"
"BLDG20-0371","01/23/2020","RESIDENTIAL EXTERIOR","SHED OR ACCESSORY STRUCTURE","11481 JAY ST","Wood frame storage bldg","A SHED USA","ECON:200122125340172"
"BLDG20-0372","01/23/2020","RESIDENTIAL BUILDING","PLUMBING","7170 ALCOTT ST","WHOLE HOUSE WATER LINE REPIPE ...","APPLEWOOD PLUMBING HEATING & E...","ECON:200122010006273"
"BLDG20-0374","01/23/2020","RESIDENTIAL COUNTER","WATER HEATER","8290 FEDERAL BLVD #48","Replaced existing failed 40 ga...","BROOMHALL BROTHERS","ECON:200122015602075"
"BLDG20-0377","01/23/2020","RESIDENTIAL COUNTER","WATER HEATER","8290 FEDERAL BLVD #106","Replaced existing failed 40 ga...","BROOMHALL BROTHERS","ECON:200122023430626"
"BLDG20-0381","01/23/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #824","Change out water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200122034906256"
"BLDG20-0382","01/23/2020","RESIDENTIAL COUNTER","FURNACE","3109 W 76TH AVE","Furnace Install","MARK A STROUP LLC","ECON:200122035614344"
"BLDG20-0383","01/23/2020","RESIDENTIAL COUNTER","REROOF","11546 MARSHALL ST","Remove old roof.  Reroof with ...","FAMILY ROOFING LLC","ECON:200122040417486"
"BLDG20-0385","01/23/2020","RESIDENTIAL COUNTER","WATER HEATER","2550 W 82ND PL #A","install replacement","COOPER HEATING & COOLING INC","ECON:200122042740652"
"BLDG20-0386","01/23/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","2839 W 110TH PL","install replacements","COOPER HEATING & COOLING INC","ECON:200122043445700"
"BLDG20-0392","01/23/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","9510 CARR ST","Installation of new furnace an...","GROUNDHOG HEATING LLC","ECON:200123091124364"
"BLDG20-0393","01/23/2020","RESIDENTIAL COUNTER","REROOF","9128 W 101ST AVE","Reroof 21 sq Asphalt","RECON RESTORATION LLC","ECON:200123100913898"
"BLDG20-0394","01/23/2020","RESIDENTIAL BUILDING","ELECTRICAL","7475 IRVING ST","Replace 200 amp service change","DOCTOR FIX IT PLUMBING HEATING...","ECON:200123104841324"
"BLDG20-0395","01/23/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","5191 W 69TH LOOP","Add basement bathroom, living ...","SILVER HOME SERVICES","ECON:200123110004492"
"BLDG20-0396","01/23/2020","RESIDENTIAL COUNTER","FURNACE","7475 IRVING ST","REPLACE 80% 80 BTU FURNACE","DOCTOR FIX IT PLUMBING HEATING...","ECON:200123110717649"
"BLDG20-0397","01/23/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","3163 W 109TH PL","remodel basement","FINISHED BASEMENT CO INC","MSCA:200123110803509"
"BLDG20-0399","01/23/2020","RESIDENTIAL COUNTER","WATER HEATER","9058 WINONA CT","REPLACE 50 GALLON GAS WATER HE...","DOCTOR FIX IT PLUMBING HEATING...","ECON:200123123107723"
"BLDG20-0405","01/23/2020","RESIDENTIAL COUNTER","WATER HEATER","5505 W 118TH AVE","ONE WATER HEATER REPLACEMENT 4...","PROSPECT PLUMBING LLC","ECON:200123015037524"
"BLDG20-0409","01/23/2020","RESIDENTIAL COUNTER","REROOF","7680 MEADE ST","Tear off and install new roof","APEX ROOF AND CONSULTING INC","ECON:200123043150669"
"BLDG19-8090","01/22/2020","COMMERCIAL NEW","NEW RETAINING WALL","8811 MEADE ST","Construction of 2 MSE Block Re...","SLATON BROS INC","ECON:191118035800011"
"BLDG19-8280","01/22/2020","RESIDENTIAL COUNTER","TANKLESS WATER HEATER","7430 NEWTON ST","replace with tankless","ROBERTS PLUMBING","ECON:191202011609956"
"BLDG19-8649","01/22/2020","RESIDENTIAL BUILDING","BUILDING","10714 MOORE ST","Fire restoration","SR COLORADO INC","ECON:191223113459190"
"BLDG20-0167","01/22/2020","RESIDENTIAL COUNTER","REROOF","9746 W 106TH AVE","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200110094838401"
"BLDG20-0232","01/22/2020","RESIDENTIAL COUNTER","FURNACE","9602 MEADE CT","install a 80K 80% Furnace. lik...","BROTHERS PLUMBING HEATING &  E...","ECON:200114033923180"
"BLDG20-0288","01/22/2020","RESIDENTIAL COUNTER","WATER HEATER","8290 FEDERAL BLVD #54","Replaced existing failed 40 ga...","BROOMHALL BROTHERS","ECON:200116015441586"
"BLDG20-0289","01/22/2020","RESIDENTIAL COUNTER","WATER HEATER","8290 FEDERAL BLVD #32","Replaced existing failed 40 ga...","BROOMHALL BROTHERS","ECON:200116015732643"
"BLDG20-0291","01/22/2020","RESIDENTIAL COUNTER","WATER HEATER","8290 FEDERAL BLVD #65","Replaced existing failed 40 ga...","BROOMHALL BROTHERS","ECON:200116020239719"
"BLDG20-0292","01/22/2020","RESIDENTIAL COUNTER","WATER HEATER","8290 FEDERAL BLVD #39","Replaced existing failed 40 ga...","BROOMHALL BROTHERS","ECON:200116020956762"
"BLDG20-0306","01/22/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","8570 CONCORD LN","Knadle PV System 4.27 KW","BRS FIELD OPS LLC","ECON:200120083245881"
"BLDG20-0308","01/22/2020","RESIDENTIAL COUNTER","WATER HEATER","8671 W 95TH DR","replace 50 gallon gas water he...","Steadfast Plumbing Inc","ECON:200120095747820"
"BLDG20-0311","01/22/2020","RESIDENTIAL COUNTER","SEWER REPAIR","5864 W 75TH AVE","Sewer spot repair","SEWER LINES ONLY","ECON:200120102234288"
"BLDG20-0313","01/22/2020","RESIDENTIAL COUNTER","REROOF","12981 HARMONY PKWY","Complete tear off and re-roof ...","VALOR ROOF AND SOLAR INC","ECON:200120123658282"
"BLDG20-0317","01/22/2020","RESIDENTIAL COUNTER","REROOF","9250 W 90TH PL","Reroof 28 SQ on dwelling and s...","ADVANCED EXTERIORS INC","ECON:200120043440349"
"BLDG20-0321","01/22/2020","RESIDENTIAL SOLAR","REMOVE AND REINSTALL","10769 NW ROUTT WAY","removal and reinstall due to n...","WATTS HAPPENING ELECTRIC & SOL...","ECON:200120050715648"
"BLDG20-0326","01/22/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #1223","Change out water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200121100639145"
"BLDG20-0332","01/22/2020","RESIDENTIAL COUNTER","REROOF","8998 W 101ST AVE","Reroof 22 SQ with GAF Timberli...","ADVANCED EXTERIORS INC","ECON:200121115713387"
"BLDG20-0337","01/22/2020","RESIDENTIAL COUNTER","FURNACE","8676 W 86TH CIR","Furnace Replacement","TRADEWINDS HEATING AND COOLING...","ECON:200121010808602"
"BLDG20-0344","01/22/2020","RESIDENTIAL COUNTER","SEWER REPAIR","10520 W 106TH PL","8' SPOT REPAIR IN FRONT YARD A...","TRENCH RIGHT","ECON:200121034417889"
"BLDG20-0345","01/22/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","5700 W 73RD AVE","Replacing furnace and AC","PREMIER HEATING AND AIR","ECON:200121041941200"
"BLDG20-0346","01/22/2020","RESIDENTIAL COUNTER","REROOF","10914 W 102ND CIR","Re- Roof House","1derful Roofing & Restoration","ECON:200121042614257"
"BLDG20-0347","01/22/2020","RESIDENTIAL BUILDING","BUILDING","11849 TENNYSON WAY","Damage to exterior wall that n...","BLUE RIBBON EXTERIORS AND CONS...","ECON:200121043109339"
"BLDG20-0364","01/22/2020","RESIDENTIAL COUNTER","REROOF","9277 W 100TH CIR","Remove and replace roofing","OBSOLETE TILE ROOFING AND INSP...","ECON:200122112100154"
"BLDG20-0380","01/22/2020","RESIDENTIAL BUILDING","ELECTRICAL","10088 WOLFF ST","Service panel upgrade","BRE LLC","ECON:200122032959113"
"BL20-0005","01/21/2020","BUSINESS LICENSE","","1181 W 120TH AVE #100","Mugi Ramen & Poke","","DHOR:200121085543833"
"BLDG19-6781","01/21/2020","COMMERCIAL","BUILDING","11030 CIRCLE POINT RD #150","TF of new spec suite - No chan...","PONDEROSA CONSTRUCTION INC","ECON:191001122436942"
"BLDG19-7024","01/21/2020","RESIDENTIAL COUNTER","REROOF","8015 W 106TH AVE","Re-roof Complete, Metal roof a...","JBC CONTRACTING LLC DBA JBC RO...","ECON:191008124949919"
"BLDG19-8112","01/21/2020","RESIDENTIAL COUNTER","REROOF","9457 FLOWER ST","re-roof house & shed","ARVADA ROOFING & WEATHERPROOFI...","ECON:191119012329087"
"BLDG19-8179","01/21/2020","RESIDENTIAL COUNTER","REROOF","9187 W 101ST AVE","Re Roof","THE ROOF DR","ECON:191122091920467"
"BLDG19-8445","01/21/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","12899 FOX CT","New residential construction.","Century Communities","ECON:191211035225253"
"BLDG19-8446","01/21/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","12898 FOX CT","New residential construction.","Century Communities","ECON:191211035842354"
"BLDG19-8535","01/21/2020","COMMERCIAL","TENANT FINISH","10155 WESTMOOR DR BLDG 3","TF for Asset Protect One - Mis...","SAND CONSTRUCTION CO - Michael...","ECON:191216012043454"
"BLDG20-0125","01/21/2020","RESIDENTIAL EXTERIOR","DECK","11343 QUIVAS WAY","replace existing deck with new...","COLORADO DECK & LANDSCAPE REMO...","ECON:200108111350222"
"BLDG20-0150","01/21/2020","RESIDENTIAL EXTERIOR","DECK","11429 W 103RD DR","composite deck and rail with s...","SJ WARD LANDSCAPES LLC","ECON:200109115347183"
"BLDG20-0151","01/21/2020","RESIDENTIAL COUNTER","AIR CONDITIONER","8042 BRYANT ST","A/C System - Change Out -  3.5...","COLORADO CUSTOM SERVICE - GC","ECON:200109124019620"
"BLDG20-0210","01/21/2020","RESIDENTIAL BUILDING","ELECTRICAL","10075 ZENOBIA CT","Service Panel Upgrade","BRE LLC","ECON:200113054101929"
"BLDG20-0215","01/21/2020","RESIDENTIAL COUNTER","REROOF","9510 FLOWER ST","Remove 1 layer of asphalt shin...","CABINET CONNECTION LTD","ECON:200114101518476"
"BLDG20-0285","01/21/2020","RESIDENTIAL COUNTER","REROOF","13562 SHOSHONE ST","R&R Shingle with GAF inTimberl...","EXPERT EXTERIORS LLC","ECON:200116014537335"
"BLDG20-0287","01/21/2020","RESIDENTIAL COUNTER","REROOF","10530 PIERSON CIR","Remove 15 SQ shingles.  Instal...","DENVER ROOFERS LLC","ECON:200116015307561"
"BLDG20-0304","01/21/2020","RESIDENTIAL EXTERIOR","FENCE","13016 HARMONY PKWY","Replace existing wood fence wi...","A SHARPER IMAGE LANDSCAPING","ECON:200117023514537"
"BLDG20-0309","01/21/2020","RESIDENTIAL COUNTER","SEWER REPAIR","9720 MEADE CIR","Sewer repair under slab in bas...","PLUMBLINE SERVICES","ECON:200120100050875"
"BLDG20-0318","01/21/2020","RESIDENTIAL COUNTER","FURNACE","10957 BRYANT ST","install replacement","COOPER HEATING & COOLING INC","ECON:200120043619386"
"BLDG20-0319","01/21/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","5795 W 76TH DR","install replacements","COOPER HEATING & COOLING INC","ECON:200120043824438"
"BLDG20-0320","01/21/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","10946 MEADE CT","install replacements","COOPER HEATING & COOLING INC","ECON:200120044312502"
"BLDG20-0339","01/21/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","9304 FENTON CT","Furnace and A/C replacement","GRAY'S HEATING & AIR CONDITION...","TGAR:200121022544178"
"BLDG20-0350","01/21/2020","RESIDENTIAL COUNTER","SEWER REPAIR","9950 HOLLAND CIR","Sewer Service spot repair, ins...","SEWER SCOPE LLC","ECON:200121043847504"
"BLDG20-0230","01/20/2020","RESIDENTIAL COUNTER","WATER HEATER","2497 COUNTRY CLUB LOOP","install a 75 gallon 76k BTU wa...","BROTHERS PLUMBING HEATING &  E...","ECON:200114033342051"
"BLDG20-0231","01/20/2020","RESIDENTIAL COUNTER","FURNACE","2497 COUNTRY CLUB LOOP","install a 120K BTU 80% furnace...","BROTHERS PLUMBING HEATING &  E...","ECON:200114033736136"
"BLDG20-0246","01/20/2020","RESIDENTIAL COUNTER","SEWER REPAIR","3150 KASSLER PL","Installing Double sweep clean-...","SEWER LINES ONLY","ECON:200115102348227"
"BLDG20-0253","01/20/2020","RESIDENTIAL COUNTER","REROOF","9452 W 104TH WAY","R &R roof with Malarkey Legacy...","James Bretz","EPRS:200115013825245"
"BLDG20-0303","01/20/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","4225 W 70TH PL","TEST","Katie Test Electrical","ECON:200117021914258"
"BLDG20-0256","01/18/2020","RESIDENTIAL BUILDING","ELECTRICAL","10315 XAVIER CT","Remove and replace FPE panel, ...","WE R ELECTRIC LLC","ECON:200115023603012"
"BLDG19-6686","01/17/2020","COMMERCIAL","BUILDING","7303 FEDERAL BLVD #400","Demising Wall to create #400 &...","EPIC CONSTRUCTION INC","ECON:190927083156088"
"BLDG19-7895","01/17/2020","COMMERCIAL","TENANT FINISH","10448 TOWN CENTER DR #100","TF for Xfinity requires Cof O","ACT CONSTRUCTION","ECON:191108122233565"
"BLDG19-8038","01/17/2020","COMMERCIAL","BUILDING","7303 FEDERAL BLVD #300","Provide new RTU, add breaker p...","EPIC CONSTRUCTION INC","ECON:191115120306436"
"BLDG19-8619","01/17/2020","RESIDENTIAL EXTERIOR","FENCE","13060 VALLEJO CIR","HOA requires existing wood fen...","A SHARPER IMAGE LANDSCAPING","EPRS:191219101038632"
"BLDG20-0189","01/17/2020","RESIDENTIAL COUNTER","DEMOLITION","1506 LEXINGTON AVE","Demo down to studs","JIM BLACK CONSTRUCTION","ECON:200113092240008"
"BLDG20-0249","01/17/2020","RESIDENTIAL COUNTER","REROOF","9825 CARR CIR","Remove all roofing to decking ...","ARVADA ROOFING & CONSTRUCTION","ECON:200115123106722"
"BLDG20-0270","01/17/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","5110 W 98TH AVE","replace furnace ac with 100000...","Fix-It 247 Home sevices","ECON:200116080245014"
"BLDG20-0282","01/17/2020","RESIDENTIAL COUNTER","WATER HEATER","7757 W 87TH DR","REPLACING WH, 40 GAL, 40K BTUS","ACTION INC","ECON:200116123137983"
"BLDG20-0284","01/17/2020","RESIDENTIAL COUNTER","SEWER REPAIR","8728 W 95TH AVE","12’ long sewer service repair ...","THE ELITE PIPE MD","ECON:200116012000847"
"BLDG20-0290","01/17/2020","RESIDENTIAL COUNTER","WATER HEATER","9740 WESTCLIFF PKWY #617","#617 - replace water heater","PROCRAFT MECHANICAL INC (PLUMB...","ECON:200116015907673"
"BLDG20-0294","01/17/2020","RESIDENTIAL COUNTER","REROOF","10044 LEE ST","Full reroof","CAIRN ROOFING GROUP","ECON:200116023709966"
"BLDG20-0295","01/17/2020","RESIDENTIAL COUNTER","WATER HEATER","5416 W 115TH PL","Installing replacement water h...","PRECISION PLUMBING & HEATING I...","ECON:200116024659055"
"BLDG20-0297","01/17/2020","RESIDENTIAL COUNTER","FURNACE","7481 NEWTON ST","test test test","Katie Test Electrical","ECON:200117074410959"
"BLDG19-8264","01/16/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","9213 HOYT ST","Interior remodel of main livin...","Chris Hester","EPRS:191201051242547"
"BLDG19-8411","01/16/2020","COMMERCIAL SIGN","SIGN","7237 CHURCH RANCH BLVD #410","Non-Illuminated Flush mount le...","ROYAL SIGNS INC","ECON:191210115322874"
"BLDG19-8532","01/16/2020","COMMERCIAL","BUILDING","9300 W 108TH CIR","Access Control","Team LINX, LLLP","ECON:191216123038135"
"BLDG20-0123","01/16/2020","RESIDENTIAL COUNTER","REROOF","9700 W 88TH PL","Remove all roofing to decking ...","ARVADA ROOFING & CONSTRUCTION","ECON:200108101612411"
"BLDG20-0197","01/16/2020","RESIDENTIAL COUNTER","WATER HEATER","11345 XAVIER CT","Replace 50 gallon water heater...","Tyco Plumbing Corp - Tyler Cou...","ECON:200113122205506"
"BLDG20-0244","01/16/2020","RESIDENTIAL COUNTER","REROOF","9706 JELLISON ST","Re-roof","SWEET ROOFING","ECON:200115093451770"
"BLDG20-0268","01/16/2020","RESIDENTIAL COUNTER","WATER HEATER","9740 WESTCLIFF PKWY #615","#615 - replace water heater","PROCRAFT MECHANICAL INC (PLUMB...","ECON:200116070102737"
"BLDG20-0269","01/16/2020","RESIDENTIAL COUNTER","REROOF","8970 GARLAND CT","Re-roof","CROWN ROYAL BUILDERS INC","ECON:200116071431797"
"BLDG20-0272","01/16/2020","COMMERCIAL","SEWER REPAIR","8405 CHURCH RANCH BLVD BLDG C","REPAIR OR REPLACE BROKEN PRIVA...","R NICHOLS CIVIL CONTRACTORS LL...","ECON:200116084620194"
"BLDG20-0273","01/16/2020","RESIDENTIAL COUNTER","REROOF","11262 W 102ND DR","Remove 15 SQ shingles.  Instal...","DENVER ROOFERS LLC","ECON:200116084744264"
"BLDG20-0274","01/16/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","4640 W 108TH CT","Family room, bedroom 3/4 bath","LEVEL B INC","ECON:200116090655410"
"BLDG20-0275","01/16/2020","RESIDENTIAL BUILDING","BUILDING","10432 W 107TH PL","Wood Stove Install","Steve Gerber","EPRS:200116095540665"
"BLDG20-0276","01/16/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","2422 W 82ND PL #3G","replace 80.0% 60 BTU, 1.5-2 TO...","DOCTOR FIX IT PLUMBING HEATING...","ECON:200116105703075"
"BLDG20-0277","01/16/2020","RESIDENTIAL COUNTER","FURNACE","7820 KING ST","Furnace Install","MARK A STROUP LLC","ECON:200116110153147"
"BLDG20-0278","01/16/2020","RESIDENTIAL COUNTER","WATER HEATER","3760 W 112TH AVE #308","remove and replace 65 gallon w...","MASTER ROOTER PLUMBING LLC","ECON:200116113518574"
"BL20-0003","01/15/2020","BUSINESS LICENSE","","7980 SHERIDAN BLVD","JJ's Grill","","DHOR:200115083051463"
"BL20-0004","01/15/2020","BUSINESS LICENSE","","9140 W 100TH AVE #A5","Elevate Smoke Lounge","","DHOR:200115083416480"
"BLDG19-6538","01/15/2020","RESIDENTIAL EXTERIOR","DECK","11669 BRADBURN BLVD","2nd floor balcony (10' x 9') m...","TIMBERLINE BUILDERS","ECON:190924014012298"
"BLDG19-7142","01/15/2020","RESIDENTIAL COUNTER","WATER REPAIR","1460 LEXINGTON AVE","emergency water service repair","Glendon Parker","EPRS:191011030218781"
"BLDG19-8578","01/15/2020","RESIDENTIAL COUNTER","REROOF","9250 W 94TH PL","Remove and replace asphalt shi...","ANDERSON CONSTRUCTION","ECON:191218122752494"
"BLDG20-0101","01/15/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","9334 PIERCE ST","Install furnace and AC","ARS - PLUMBING","ECON:200107012534914"
"BLDG20-0120","01/15/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","7757 YATES ST","Install 20 sq vinyl siding, so...","POWER HOME REMODELING GROUP","ECON:200108101112274"
"BLDG20-0121","01/15/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","5729 W 71ST CIR","Install 5 sq vinyl siding, sof...","POWER HOME REMODELING GROUP","ECON:200108101220310"
"BLDG20-0122","01/15/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","8111 KNOX CT","Install 12 sq vinyl siding, so...","POWER HOME REMODELING GROUP","ECON:200108101325368"
"BLDG20-0143","01/15/2020","RESIDENTIAL COUNTER","REROOF","7087 W 94TH AVE","Tear off 1 layer asphalt-Insta...","AG Roofing","ECON:200109091308013"
"BLDG20-0173","01/15/2020","RESIDENTIAL COUNTER","FURNACE","9032 VANCE ST #103","Replacing Like For Like 40,000...","PEAK MECHANICAL LLC","ECON:200110020928793"
"BLDG20-0174","01/15/2020","RESIDENTIAL COUNTER","WATER HEATER","9048 VANCE ST #310","Replacing Like For Like 29 gal...","PEAK MECHANICAL LLC","ECON:200110021453849"
"BLDG20-0175","01/15/2020","RESIDENTIAL COUNTER","FURNACE","9048 VANCE ST #203","Replacing Like For Like 40,000...","PEAK MECHANICAL LLC","ECON:200110021723887"
"BLDG20-0176","01/15/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","9012 VANCE ST #104","Replacing Like For Like","PEAK MECHANICAL LLC","ECON:200110022207948"
"BLDG20-0200","01/15/2020","RESIDENTIAL COUNTER","REROOF","9252 W 91ST PL","Replacing asphalt shingle","ANDERSON CONSTRUCTION","ECON:200113015504044"
"BLDG20-0216","01/15/2020","RESIDENTIAL COUNTER","WATER HEATER","9760 WESTCLIFF PKWY #737","#737 - Replace water heater","PROCRAFT MECHANICAL INC (PLUMB...","ECON:200114102735626"
"BLDG20-0225","01/15/2020","RESIDENTIAL COUNTER","WATER HEATER","3332 W 73RD AVE","ONE WATER HEATER REPLACEMENT 5...","PROSPECT PLUMBING LLC","ECON:200114010424731"
"BLDG20-0229","01/15/2020","RESIDENTIAL COUNTER","WATER HEATER","9585 FLOWER ST","REMOVE AND REPLACE 40 GALLON 4...","DONE SERVICE GROUP INC","ECON:200114022313477"
"BLDG20-0237","01/15/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","7635 IRVING ST","Replace furnace ac with 80000 ...","Fix-It 247 Home sevices","ECON:200115081628670"
"BLDG20-0238","01/15/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","9221 KNOX CT","install replacements","COOPER HEATING & COOLING INC","ECON:200115081815719"
"BLDG20-0240","01/15/2020","RESIDENTIAL BUILDING","ELECTRICAL","9251 GARRISON ST","replace 200 amp fpe panelboard","Knight Electrical Inc","ECON:200115090845457"
"BLDG20-0241","01/15/2020","RESIDENTIAL COUNTER","AIR CONDITIONER","10651 NEWCOMBE ST","Install new AC, 13 SEER, 2 TON","Colorado Heating and Air Condi...","ECON:200115092456621"
"BLDG20-0245","01/15/2020","RESIDENTIAL COUNTER","WATER HEATER","7921 WOLFF CT","Replace 40 gallon water heater","ARS - PLUMBING","ECON:200115101308138"
"BLDG20-0247","01/15/2020","RESIDENTIAL COUNTER","FURNACE","9131 NEWTON ST","Install new 60K 95% AFUE","ARAPAHOE COUNTY WEATHERIZATION","ECON:200115102924288"
"BLDG20-0248","01/15/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","7851 YATES ST","3.97 kW residential solar arra...","BRS FIELD OPS LLC","ECON:200115115956939"
"BLDG20-0250","01/15/2020","COMMERCIAL","BUILDING","1700 W 128TH AVE","Shade Shelter for dog park","DESIGNS BY SUNDOWN","ECON:200115125454898"
"BLDG20-0251","01/15/2020","RESIDENTIAL COUNTER","FURNACE","7750 W 87TH DR #E","REPLACE 80% 60 BTU ","DOCTOR FIX IT PLUMBING HEATING...","ECON:200115012923104"
"BLDG20-0252","01/15/2020","RESIDENTIAL COUNTER","REROOF","8825 W 93RD AVE","Remove and replace roofing. Te...","ALTITUDE CONSTRUCTION INC","ECON:200115013733197"
"BLDG20-0255","01/15/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","10200 KING ST","REPLACE FURNACE AND AC WITH 96...","Swan Heating & Air Conditionin...","ECON:200115022154887"
"BLDG20-0264","01/15/2020","COMMERCIAL","DEMOLITION","9280 SHERIDAN BLVD","Demo Hook and Reel Restaurant ...","CC REMODEL","MSCA:200115034153450"
"BLDG20-0266","01/15/2020","RESIDENTIAL BUILDING","ELECTRICAL","7402 CHURCH RANCH BLVD #332","Install of microwave circuit &...","D&J ENTERPRISES LLC","ECON:200115053301280"
"BLDG20-0267","01/15/2020","RESIDENTIAL BUILDING","ELECTRICAL","7402 CHURCH RANCH BLVD #728","Install of microwave circuit &...","D&J ENTERPRISES LLC","ECON:200115053552320"
"BLDG18-5550","01/14/2020","RESIDENTIAL COUNTER","REROOF","6328 W 92ND PL","Replacing roof","","EPRS:180907124813986"
"BLDG19-8529","01/14/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","12104 BRYANT ST","FAMILY ROOM, 3/4 BATH, TWO BED...","BACIC CONSTRUCTION LLP","ECON:191216113637547"
"BLDG19-8670","01/14/2020","RESIDENTIAL BUILDING","BUILDING","9042 W 92ND AVE","Enlarge and relocate the rear ...","SEILER CONSTRUCTION LLC","ECON:191224081524299"
"BLDG20-0019","01/14/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","4975 W 107TH LOOP","Solar installation","Energy Insight","EPRS:200102023658201"
"BLDG20-0022","01/14/2020","RESIDENTIAL EXTERIOR","FENCE","10072 FLOWER ST","Install 84' of 3' iron & 99' o...","SPLIT RAIL FENCE CO","ECON:200102031646544"
"BLDG20-0191","01/14/2020","RESIDENTIAL COUNTER","WATER HEATER","9489 W 89TH CIR BLDG 7","water heater install","AAA SERVICE PLUMBING INC","ECON:200113105105597"
"BLDG20-0192","01/14/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","2780 W 106TH LOOP #B","Install 80,000 Btu's Furnace, ...","COFFMAN/B & F HEATING & AC INC","ECON:200113110305741"
"BLDG20-0193","01/14/2020","RESIDENTIAL COUNTER","REROOF","10602 OWENS ST","GAF TImberline HD asphalt dime...","MARRICK INDUSTRIES LLC dba ELI...","EPRS:200113110856858"
"BLDG20-0195","01/14/2020","RESIDENTIAL COUNTER","SEWER REPAIR","9773 HOOKER CT","8' SPOT REPAIR IN FRONT YARD A...","TRENCH RIGHT","ECON:200113115100388"
"BLDG20-0198","01/14/2020","RESIDENTIAL COUNTER","FURNACE","7851 JULIAN ST","Replace furnace with new 70K B...","Service Experts  - Bartels Wes...","ECON:200113123016600"
"BLDG20-0199","01/14/2020","RESIDENTIAL COUNTER","REROOF","9875 UPHAM DR","Reroof with Owens Corning Dura...","TD BUILDERS CONSTRUCTION SERVI...","ECON:200113011053794"
"BLDG20-0201","01/14/2020","RESIDENTIAL COUNTER","WATER HEATER","11894 NEWTON ST #304","#304 - Replace water heater","PROCRAFT MECHANICAL INC","ECON:200113020814170"
"BLDG20-0203","01/14/2020","RESIDENTIAL COUNTER","REROOF","8470 W 91ST AVE","Tear off and Install 16 SQS of...","AVI INC","ECON:200113024041661"
"BLDG20-0204","01/14/2020","COMMERCIAL","PLUMBING","11180 IRVING DR BLDG 1","Remove and Replace WATER HEATE...","AMERICAN MECHANICAL SERVICES","ECON:200113024047674"
"BLDG20-0206","01/14/2020","RESIDENTIAL BUILDING","BUILDING","8020 GROVE ST","Replace 1 window with a patio ...","K & H WINDOWS & EXTERIORS","ECON:200113035455149"
"BLDG20-0208","01/14/2020","RESIDENTIAL BUILDING","ELECTRICAL","5150 W 99TH CT","Service Panel Upgrade","BRE LLC","ECON:200113053719877"
"BLDG20-0209","01/14/2020","RESIDENTIAL BUILDING","ELECTRICAL","4785 W 102ND PL","Service Upgrade","BRE LLC","ECON:200113053925903"
